author,count(followers)
BOEING_IS_BACK,4933
CAM_EVSSS,22
CARREDTRT,59
CTHUNO,6
DAEROKIBA,527
BONNET_MICHELE,27
CYBERKUZIA,510
BOBBYCHANDLERR,64
DAILEYJADON,3625
BOINYA_N5,13
BRENT_KENDRICK,2
BRONICKIJEWEL,80
CHARMANT_ANIS,1012
COOKIIIEEESSSS,1390
BUSHKINVLAD,29
CECILDUKES,27
CATKELLEY_,36
CAMEERICLAAR,2637
BORINETS_2001,443
COLLEEN_FRN,26
BULBULYATOR1959,52
BOTINOKTRUN,187
CAMDENCITYNEWS,500
CARMELMELLER,6
BRENTMCCLURE275,7296
BYDRBRE,2296
CASSONDRATRUDE1,25
BRITTANYLANE_1,22
CANDISMBRR,2672
CHERRYCHERYLFIN,9
BRICSOFFICIAL,355
CASSISHERE,5683
CECIIISTATS,2676
CELLESTINS,2641
CASSIEWELTCH,2249
CLAIRE_COURT_,16
CHRISTINAPOOL61,352
BORISELESEEV,1004
BORIS_KOLOV,19
COVFEFENATIONUS,23544
CALEBPAAR,3604
CHAASNTR,8347
CHARRISSTR,1109
CHAMOMILA7,980
CARIISNCISTR,2711
CELIISSGONS,1294
BONDTONYB0ND,50
CHEYENNE_ENG,37
BLMSOLDIER,5703
CHARLESJHARPER,2592
DADDILAZARUS,47
BREMENBOTE,109
CALVIN_BARN,33
BOCHARNIKOV_V,1280
BYLGANIN_MARK,27
COLINSNEVERLAND,543
BOTALOVAVAVA,444
CHARMEESTRS,2657
CECIL_HAYS,86
CADDEETRS,2583
CHIRRISMOGUI,2678
CAMERONJJJ11,83
CHAYKA_CHELSEY,7
CHARLESRESPECK,180
CH1ESTHER,49
DAILYSANDIEGO,14414
CZAR_THE_ONE,37
C__WELLS,1394
CALEBROBBNS,51
CHESPLAYSCHESS,19215
CHRIXCHASE,2802
CAR_REMS,74
CHESTERCITYNEWS,337
CHOCO_SMELLS,1180
CHRIXMORGAN,14705
CNKOP777,11
CUSMAX,34
BUHOIINSIDER,1
CASCASEYP,3407
BRIANWARNING,584
CORNELLJULIEAN2,6
CLYDEDAWS0N,1451
CLAUDIA42KERN,2692
CLAUDIXX59,2
BUBNOVATILAQUIV,256
COLDWAR20_RU,3343
CALKINDENIS,465
CIDUQUVN,8
BROSELIFOTR,2590
CHISTISSST,3
CAMILLITIXTOPS,6
CDAVISA20,3
BOOTH_PRINCE,9551
BORISBORRISS,488
CORNELLBURCHET,3945
CUNEODOLORES,31
CAADEENRRS,2125
BRATUHA_BORCUHA,1607
CHOCOMAYONNAISE,506
COMEANDGETITAAW,98
BRRISTASI,2627
CHRNIKALERONICA,1016
